,person_id,id,role,title,release_year,age_certification,runtime,genres,production_countries,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
111,28432,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
112,83039,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
113,83040,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
114,83041,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
115,83042,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
116,15562,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
117,28171,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
118,58618,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
119,83043,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
120,83044,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
121,83045,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
122,11774,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
123,83046,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
124,27040,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
125,56405,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
126,83047,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
127,357644,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
128,1254876,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
129,1254791,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
130,1254778,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
131,1255103,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
132,1254838,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
133,1255106,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
134,1255122,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
135,1255589,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
136,56405,tm14873,DIRECTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
137,14081,tm185072,ACTOR,My Fair Lady,1964,G,170,"[''drama'', ''music'', ''romance'', ''family'']",['US'],tt0058385,bad_score,50000-99999,15.949,7.6
