index,person_id,id,name,role
297,29176,tm44204,James Darren,ACTOR
298,21795,tm44204,Irene Papas,ACTOR
299,29177,tm44204,Gia Scala,ACTOR
300,29178,tm44204,James Robertson Justice,ACTOR
301,4431,tm44204,Richard Harris,ACTOR
302,29179,tm44204,Bryan Forbes,ACTOR
303,29180,tm44204,Allan Cuthbertson,ACTOR
304,16493,tm44204,Michael Trubshawe,ACTOR
305,27914,tm44204,Percy Herbert,ACTOR
306,16882,tm44204,George Mikell,ACTOR
307,11738,tm44204,Walter Gotell,ACTOR
308,13701,tm44204,Tutte Lemkow,ACTOR
309,29181,tm44204,Albert Lieven,ACTOR
310,29182,tm44204,Norman Wooland,ACTOR
311,613906,tm44204,Kleo Skouloudi,ACTOR
312,29184,tm44204,Nicholas Papakonstantinou,ACTOR
313,29185,tm44204,Christopher Rhodes,ACTOR
314,13433,tm44204,William Hoehne Jr.,ACTOR
315,29187,tm44204,J. Lee Thompson,DIRECTOR
316,26761,tm69778,Yasuo Yamada,ACTOR
317,26762,tm69778,Eiko Masuyama,ACTOR
318,26764,tm69778,Kiyoshi Kobayashi,ACTOR
319,26765,tm69778,Gorō Naya,ACTOR
320,26766,tm69778,Sumi Shimamoto,ACTOR
321,26767,tm69778,Tarô Ishida,ACTOR
322,26769,tm69778,Akio Nojima,ACTOR
323,26768,tm69778,Eken Mine,ACTOR
324,26770,tm69778,Ichirō Nagai,ACTOR
325,26771,tm69778,Junkichi Yarita,ACTOR
326,26772,tm69778,Kinpei Azusa,ACTOR
327,26773,tm69778,Kōhei Miyauchi,ACTOR
328,26774,tm69778,Mikio Terashima,ACTOR
329,26775,tm69778,Minoru Midorikawa,ACTOR
330,25342,tm69778,Osamu Saka,ACTOR
331,26776,tm69778,Shigeharu Matsuda,ACTOR
332,26778,tm69778,Shozo Hirabayashi,ACTOR
333,26777,tm69778,Tadamichi Tsuneizumi,ACTOR
334,26779,tm69778,Yoko Yamaoka,ACTOR
335,94767,tm69778,Makio Inoue,ACTOR
336,26781,tm69778,Hayao Miyazaki,DIRECTOR
337,25707,tm69997,Richard Pryor,ACTOR
338,191724,tm69997,Jennifer Lee Pryor,ACTOR
339,65063,tm69997,Jeff Margolis,DIRECTOR
340,6982,tm96649,David Carradine,ACTOR
341,10532,tm96649,Keith Carradine,ACTOR
342,31443,tm96649,Robert Carradine,ACTOR
343,16990,tm96649,James Keach,ACTOR
344,5314,tm96649,Stacy Keach,ACTOR
345,8364,tm96649,Dennis Quaid,ACTOR
346,4700,tm96649,Randy Quaid,ACTOR
347,103549,tm96649,Kevin Brophy,ACTOR
348,11346,tm96649,"Harry Carey, Jr.",ACTOR
349,11173,tm96649,Christopher Guest,ACTOR
350,6802,tm96649,Nicholas Guest,ACTOR
351,103550,tm96649,Shelby Leverington,ACTOR
352,23528,tm96649,Felice Orlandi,ACTOR
353,37723,tm96649,Pamela Reed,ACTOR
354,7551,tm96649,James Remar,ACTOR
355,30449,tm96649,Fran Ryan,ACTOR
356,464614,tm96649,Savannah Smith Boucher,ACTOR
