,title,id,imdb_id,imdb_score,imdb_votes,person_id,name,role
373,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,663864,Tilo Keiner,ACTOR
374,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,783057,Stephan Grothgar,ACTOR
375,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,76601,Stephane Cornicard,ACTOR
376,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,93047,Anna Maguire,ACTOR
377,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,9873,Nathan Fillion,ACTOR
369,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,26558,Raffaello Degruttola,ACTOR
368,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,32698,Martin Hub,ACTOR
361,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,10278,Andrew Scott,ACTOR
340,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,131357,Marc Cass,ACTOR
362,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,63968,Matthew Sharp,ACTOR
364,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,409209,Grahame Wood,ACTOR
383,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,396396,Dorothy Grumbar,ACTOR
372,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,40947,Erich Redman,ACTOR
392,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,17029,Kathleen Byron,ACTOR
399,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,40299,Vincent Ventresca,ACTOR
398,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,3582,Leo Stransky,ACTOR
397,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,58989,Derek Lea,ACTOR
396,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,82753,Mac Steinmeier,ACTOR
395,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,605387,Nina Muschallik,ACTOR
394,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,780578,Thomas Gizbert,ACTOR
393,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,67741,Rob Freeman,ACTOR
390,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,174654,Amanda Boxer,ACTOR
366,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,47399,Glenn Wrage,ACTOR
384,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,7248,Harve Presnell,ACTOR
388,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,81371,Eric Loren,ACTOR
387,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,24225,David Wohl,ACTOR
386,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,7063,Bryan Cranston,ACTOR
385,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,18517,Dale Dye,ACTOR
382,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,102752,John Walters,ACTOR
370,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,70378,Nigel Whitmey,ACTOR
389,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,182119,Valerie Colgan,ACTOR
391,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,71135,Harrison Young,ACTOR
1205,Springsteen On Broadway,tm445735,tt8716334,8.5,2178.0,40115,Bruce Springsteen,ACTOR
1206,Springsteen On Broadway,tm445735,tt8716334,8.5,2178.0,169597,Patti Scialfa,ACTOR
797,Django Unchained,tm41792,tt1853728,8.4,1472668.0,77561,Deborah Ayorinde,ACTOR
768,Django Unchained,tm41792,tt1853728,8.4,1472668.0,3339,J.D. Evermore,ACTOR
747,Django Unchained,tm41792,tt1853728,8.4,1472668.0,2257,James Parks,ACTOR
748,Django Unchained,tm41792,tt1853728,8.4,1472668.0,1122,Tom Savini,ACTOR
755,Django Unchained,tm41792,tt1853728,8.4,1472668.0,77538,Lil Chuuch,ACTOR
750,Django Unchained,tm41792,tt1853728,8.4,1472668.0,51827,John Jarratt,ACTOR
